nickname,kd_ratio
realz1n,1.3982300884955752
✓ ★ ⑳ -Sakamoto,0.8556338028169014
tOPZ,0.8673469387755102
urban0,1.078125
Lucasye,0.5222222222222223
Sdaim,1.0727023319615911
Surreal^,1.0073260073260073
nolkz,0.9105960264900662
kjuK,0.8421052631578947
H4RR3w0w,0.9594594594594594
togs,1.1233933161953729
divine,0.979539641943734
rem1x,1.3902439024390243
drg,1.0422535211267605
ex1st,0.9160401002506264
lukiz,1.1214285714285714
soNdarryll,0.9624259750867878
detr0ittj,1.1538461538461535
leo_drk,1.2272727272727273
peterrr,0.984251968503937
guthriee,0.813953488372093
WOOD7,1.0343915343915344
Griller,0.9881170018281537
CutzMeretz,0.7830374753451677
goldfer,1.1081959600650104
Kristou,0.9536637931034484
Buck Angel,0.7333333333333333
destiny,0.950354609929078
MaxOff,0.9280397022332506
Oxbrandd,0.709585121602289
KRL,0.8
Sausol,0.9352791878172588
tomkeejs,0.6
Malkiss ♡,1.0512396694214876
yepz,0.9051490514905148
Dytor,1.04162724692526
㉑ PremiuM,0.8266666666666667
ponter,1.21
yakut,0.9017483846446218
pedrinzy,1.083916083916084
nut nut,0.9883333333333332
-ZEMO,0.9850746268656716
alisson,1.1524390243902438
sAvana1,0.8856382978723404
jACKZ,1.0474060822898033
zodi,0.930365296803653
kye,1.073643410852713
cerol,0.9464285714285714
vinaabeast,1.6
tomate,1.2063492063492065
ZLOBAAAAAAAA,0.8592974796586624
AcilioN,0.7885763000852515
rzk,0.9425837320574164
oopee,1.1218045112781956
kadziju,0.9852941176470588
Furlan,0.8136117556071152
pancc,1.108843537414966
xns,1.079646017699115
Ro1f,0.8290766208251473
history,3.3076923076923075
degster,1.206451612903226
910,1.0365853658536586
Tymoshevskiy,1.045346062052506
M1rage0,0.9542689322425004
arT,1.050909090909091
