player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game,id,nickname,team_name
112105,20,50,733,36.65,55,16,773,38.65,58,24,0.9482535575679172,14.66,15.46,112105,manguss,SAMPI
112106,20,50,619,30.95,66,13,772,38.6,59,21,0.8018134715025906,12.38,15.44,112106,The eLiVe,SAMPI
112108,20,50,736,36.8,72,14,787,39.35,63,26,0.9351969504447268,14.72,15.74,112108,ZEDKO,SAMPI
112110,20,50,745,37.25,62,13,729,36.45,60,23,1.0219478737997256,14.9,14.58,112110,fino,SAMPI
112140,3,3,56,18.666666666666668,24,15,53,17.666666666666668,21,15,1.0566037735849056,18.666666666666668,17.666666666666668,112140,MTGG,America Esports
112192,18,43,698,38.77777777777778,64,17,728,40.44444444444444,54,22,0.9587912087912088,16.232558139534884,16.930232558139537,112192,juanflatroo,Into The Breach
112194,18,43,584,32.44444444444444,54,16,675,37.5,51,17,0.8651851851851852,13.581395348837209,15.69767441860465,112194,Keoz,Into The Breach
112196,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112196,BOROS,Into The Breach
112198,18,43,627,34.833333333333336,66,17,680,37.77777777777778,55,23,0.9220588235294118,14.581395348837209,15.813953488372093,112198,sinnopsyy =DD,Into The Breach
112200,18,43,723,40.166666666666664,66,20,600,33.333333333333336,44,14,1.205,16.813953488372093,13.953488372093023,112200,smooya,Into The Breach
112208,33,79,1207,36.57575757575758,65,13,1178,35.696969696969695,63,23,1.0246179966044142,15.278481012658228,14.91139240506329,112208,JBOEN,Preasy Esports
112226,2,4,44,22.0,23,21,57,28.5,32,25,0.7719298245614035,11.0,14.25,112226,bevve,Verdant
112230,11,27,356,32.36363636363637,53,15,414,37.63636363636363,52,17,0.8599033816425121,13.185185185185185,15.333333333333334,112230,leaf,Verdant
112237,27,66,1005,37.22222222222222,69,20,1086,40.22222222222222,62,22,0.925414364640884,15.227272727272727,16.454545454545453,112237,kiR,Astralis Talent
112239,27,66,984,36.44444444444444,71,16,983,36.407407407407405,60,20,1.0010172939979654,14.909090909090908,14.893939393939394,112239,ANSG1,Astralis Talent
112241,27,66,984,36.44444444444444,57,16,1110,41.111111111111114,67,20,0.8864864864864865,14.909090909090908,16.818181818181817,112241,kroK,Astralis Talent
112243,3,3,36,12.0,15,8,40,13.333333333333334,15,12,0.9,12.0,13.333333333333334,112243,bruninhocs_,Bounty Hunters
112361,10,20,289,28.9,52,16,275,27.5,49,9,1.050909090909091,14.45,13.75,112361,arT,Fluxo
112365,3,8,131,43.666666666666664,58,35,94,31.333333333333332,39,20,1.3936170212765957,16.375,11.75,112365,chayJESUS,Tropa do Taco
112367,10,20,252,25.2,40,5,249,24.9,45,8,1.0120481927710843,12.6,12.45,112367,nicks,Fluxo
112369,10,20,292,29.2,41,12,234,23.4,43,8,1.2478632478632479,14.6,11.7,112369,zevy,Fluxo
112414,40,93,1473,36.825,68,0,1414,35.35,59,1,1.0417256011315417,15.838709677419354,15.204301075268818,112414,drac,GenOne
112416,40,93,1128,28.2,43,2,1451,36.275,66,1,0.777394900068918,12.129032258064516,15.602150537634408,112416,devoduvek力,GenOne
112418,40,93,1436,35.9,70,3,1447,36.175,64,0,0.9923980649619903,15.440860215053764,15.559139784946236,112418,Brooxsy,GenOne
112420,10,24,308,30.8,46,17,383,38.3,54,25,0.804177545691906,12.833333333333334,15.958333333333334,112420,unshaarK,GenOne
112422,39,92,1740,44.61538461538461,79,1,1268,32.51282051282051,55,0,1.3722397476340693,18.91304347826087,13.782608695652174,112422,KursySSJ4,GenOne
112432,17,42,656,38.588235294117645,59,16,662,38.94117647058823,64,21,0.9909365558912386,15.619047619047619,15.761904761904763,112432,MAGILA-,Copenhagen Wolves
112446,18,42,746,41.44444444444444,62,28,665,36.94444444444444,61,19,1.1218045112781956,17.761904761904763,15.833333333333334,112446,oopee,HEIMO
112514,11,26,365,33.18181818181818,59,19,400,36.36363636363637,50,20,0.9125,14.038461538461538,15.384615384615385,112514,Legy,paiN Academy
112641,11,24,385,35.0,48,19,337,30.636363636363637,51,12,1.142433234421365,16.041666666666668,14.041666666666666,112641,short,Bad News Chickens
112643,11,24,378,34.36363636363637,54,17,328,29.818181818181817,49,13,1.1524390243902438,15.75,13.666666666666666,112643,alisson,Bad News Chickens
112646,11,24,362,32.90909090909091,52,6,313,28.454545454545453,48,12,1.156549520766773,15.083333333333334,13.041666666666666,112646,skr,Bad News Chickens
112648,11,24,415,37.72727272727273,62,13,311,28.272727272727273,51,9,1.3344051446945338,17.291666666666668,12.958333333333334,112648,desh,Bad News Chickens
112715,8,21,300,37.5,49,28,344,43.0,52,26,0.872093023255814,14.285714285714286,16.38095238095238,112715,Chr1zN,Team OG
112768,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112768,✓ ★ ㉑ wallz1k,Sensei
112770,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112770,TEKO,Sensei
112772,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112772,will1ZERA,Sensei
112774,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112774,CloN7,Sensei
112776,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112776,santos,Sensei
112780,10,25,332,33.2,50,12,331,33.1,49,18,1.0030211480362539,13.28,13.24,112780,prt,Game Hunters
112784,3,3,62,20.666666666666668,33,9,63,21.0,30,16,0.9841269841269841,20.666666666666668,21.0,112784,antonini-,America Esports
112786,4,11,155,38.75,54,26,143,35.75,52,25,1.083916083916084,14.090909090909092,13.0,112786,pedrinzy,Game Hunters
112857,6,14,131,21.833333333333332,33,13,217,36.166666666666664,54,19,0.6036866359447005,9.357142857142858,15.5,112857,refraction,Purple Haze
112859,27,73,1233,45.666666666666664,63,26,1087,40.25925925925926,73,21,1.1343146274149034,16.89041095890411,14.89041095890411,112859,Blytz,ECLOT
112861,28,76,1155,41.25,84,13,944,33.714285714285715,55,16,1.2235169491525424,15.197368421052632,12.421052631578947,112861,forsyy,ECLOT
112863,28,76,1010,36.07142857142857,57,20,1104,39.42857142857143,71,19,0.9148550724637681,13.289473684210526,14.526315789473685,112863,kreaz,ECLOT
112865,27,73,1111,41.148148148148145,68,21,1035,38.333333333333336,63,19,1.0734299516908212,15.219178082191782,14.178082191780822,112865,nbqq,ECLOT
112867,27,73,1101,40.77777777777778,63,22,1057,39.148148148148145,64,20,1.04162724692526,15.082191780821917,14.479452054794521,112867,Dytor,ECLOT
112869,49,121,1850,37.755102040816325,78,12,1863,38.02040816326531,65,16,0.9930220075147611,15.289256198347108,15.396694214876034,112869,n1Xen,ECSTATIC
112871,48,118,1770,36.875,61,13,1856,38.666666666666664,62,16,0.9536637931034483,15.0,15.728813559322035,112871,Kristou,ECSTATIC
112873,49,121,1898,38.734693877551024,71,19,1938,39.55102040816327,68,15,0.9793601651186791,15.685950413223141,16.016528925619834,112873,Anlelele,ECSTATIC
112875,49,121,1779,36.30612244897959,67,14,1800,36.734693877551024,65,14,0.9883333333333333,14.702479338842975,14.87603305785124,112875,nut nut,ECSTATIC
113080,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,113080,Ducky,Viperio
113082,24,61,888,37.0,63,16,920,38.333333333333336,71,16,0.9652173913043478,14.557377049180328,15.081967213114755,113082,SKRiMO,Viperio
113083,24,60,815,33.958333333333336,56,8,876,36.5,64,16,0.930365296803653,13.583333333333334,14.6,113083,zodi,Viperio
113085,8,21,313,39.125,59,20,305,38.125,61,16,1.0262295081967212,14.904761904761905,14.523809523809524,113085,AwaykeN-,Viperio
113087,46,113,1607,34.93478260869565,64,18,1494,32.47826086956522,54,13,1.0756358768406962,14.221238938053098,13.221238938053098,113087,dem0n,Navi Junior
113089,47,114,1822,38.765957446808514,66,12,1688,35.91489361702128,52,11,1.0793838862559242,15.982456140350877,14.807017543859649,113089,Krabeni,Navi Junior
113091,47,114,1880,40.0,60,12,1701,36.191489361702125,58,10,1.1052322163433275,16.49122807017544,14.921052631578947,113091,Makazz3,Navi Junior
113092,47,114,1665,35.42553191489362,64,13,1495,31.80851063829787,57,10,1.1137123745819397,14.605263157894736,13.114035087719298,113092,cmtry,Navi Junior
113173,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,113173,nickwrld,Yawara Esports
113210,34,79,1171,34.44117647058823,57,4,1118,32.88235294117647,60,2,1.0474060822898033,14.822784810126583,14.151898734177216,113210,jACKZ,GenOne
113216,38,96,1462,38.473684210526315,66,20,1296,34.10526315789474,58,17,1.1280864197530864,15.229166666666666,13.5,113216,eraa^,Copenhagen Wolves
113237,3,6,54,18.0,26,12,90,30.0,32,27,0.6,9.0,15.0,113237,zhoki,Bestia Academy
113239,7,18,251,35.857142857142854,48,22,289,41.285714285714285,57,31,0.8685121107266436,13.944444444444445,16.055555555555557,113239,⑳ tutehen,VeloX
113241,7,18,286,40.857142857142854,63,25,275,39.285714285714285,61,26,1.04,15.88888888888889,15.277777777777779,113241,★ ⑳ JonY BoY,VeloX
113243,7,18,277,39.57142857142857,61,23,287,41.0,62,29,0.9651567944250871,15.38888888888889,15.944444444444445,113243,★ ⑳ nbl,VeloX
113245,7,18,265,37.857142857142854,57,12,271,38.714285714285715,56,28,0.977859778597786,14.722222222222221,15.055555555555555,113245,★ ⑳ toto-m,VeloX
113247,7,18,259,37.0,45,23,288,41.142857142857146,60,25,0.8993055555555556,14.38888888888889,16.0,113247,✓ ★ ⑳ max,VeloX
113274,15,34,526,35.06666666666667,52,15,460,30.666666666666668,52,15,1.1434782608695653,15.470588235294118,13.529411764705882,113274,perez,Sensei
113370,3,7,85,28.333333333333332,36,14,98,32.666666666666664,40,27,0.8673469387755102,12.142857142857142,14.0,113370,tOPZ,Preasy Esports
113425,10,26,423,42.3,94,15,417,41.7,85,29,1.014388489208633,16.26923076923077,16.03846153846154,113425,pavv+,LA CHAMPIONS LIGA
113427,10,26,394,39.4,92,20,418,41.8,82,26,0.9425837320574163,15.153846153846153,16.076923076923077,113427,rzk,LA CHAMPIONS LIGA
113429,6,16,190,31.666666666666668,65,16,272,45.333333333333336,91,30,0.6985294117647058,11.875,17.0,113429,castrz,LA CHAMPIONS LIGA
113431,10,26,382,38.2,80,20,384,38.4,78,28,0.9947916666666666,14.692307692307692,14.76923076923077,113431,Hezz,LA CHAMPIONS LIGA
113433,10,26,380,38.0,89,13,401,40.1,81,26,0.9476309226932669,14.615384615384615,15.423076923076923,113433,dott1,LA CHAMPIONS LIGA
113492,7,17,217,31.0,39,22,233,33.285714285714285,47,10,0.9313304721030042,12.764705882352942,13.705882352941176,113492,lealziNho,JOGA DE TERNO
113494,8,19,255,31.875,47,20,261,32.625,44,15,0.9770114942528736,13.421052631578947,13.736842105263158,113494,✓ ★ ⑳ Brnz1k,JOGA DE TERNO
113496,8,19,202,25.25,41,16,274,34.25,49,20,0.7372262773722628,10.631578947368421,14.421052631578947,113496,✓ ★ ⑳ Lukita_fps,JOGA DE TERNO
113498,7,17,254,36.285714285714285,49,22,237,33.857142857142854,46,13,1.0717299578059072,14.941176470588236,13.941176470588236,113498,swarmyzz,JOGA DE TERNO
113500,8,19,243,30.375,48,18,284,35.5,51,17,0.8556338028169014,12.789473684210526,14.947368421052632,113500,✓ ★ ⑳ -Sakamoto,JOGA DE TERNO
113549,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,113549,alexsomfan,Astralis Talent
113591,4,10,129,32.25,50,22,157,39.25,54,26,0.821656050955414,12.9,15.7,113591,Xant3r,GUN5
113652,22,53,782,35.54545454545455,66,17,729,33.13636363636363,54,16,1.0727023319615911,14.754716981132075,13.754716981132075,113652,Sdaim,GUN5
113674,18,43,673,37.388888888888886,53,12,588,32.666666666666664,46,13,1.1445578231292517,15.651162790697674,13.674418604651162,113674,REDSTAR------,Into The Breach
113703,2,5,0,0.0,0,0,8,4.0,6,2,0.0,0.0,1.6,113703,[COACH] ★ ⑮ kMACH1NE,VeloX
113727,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,113727,h4rn,Copenhagen Wolves
113740,22,53,731,33.22727272727273,56,18,805,36.59090909090909,49,21,0.9080745341614906,13.79245283018868,15.18867924528302,113740,teme,ENCE Academy
113742,22,53,807,36.68181818181818,52,15,818,37.18181818181818,49,19,0.9865525672371638,15.226415094339623,15.433962264150944,113742,mylbert8d,ENCE Academy
113744,22,53,654,29.727272727272727,49,11,773,35.13636363636363,50,20,0.8460543337645536,12.339622641509434,14.584905660377359,113744,millert,ENCE Academy
113862,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,113862,lollipop21k,Into The Breach
114011,48,115,1567,32.645833333333336,61,14,1508,31.416666666666668,60,13,1.0391246684350133,13.626086956521739,13.11304347826087,114011,bondik,Favbet Team
114013,49,117,1674,34.16326530612245,62,14,1626,33.183673469387756,65,13,1.029520295202952,14.307692307692308,13.897435897435898,114013,Smash,Favbet Team
114015,49,117,1780,36.326530612244895,67,12,1781,36.3469387755102,66,18,0.9994385176866929,15.213675213675213,15.222222222222221,114015,Marix,Favbet Team
114017,49,117,1944,39.673469387755105,67,13,1738,35.46938775510204,70,14,1.1185270425776754,16.615384615384617,14.854700854700855,114017,j3kie,Favbet Team
114019,48,115,1590,33.125,59,15,1443,30.0625,61,10,1.1018711018711018,13.826086956521738,12.547826086956523,114019,t3ns1on,Favbet Team
114107,15,34,490,32.666666666666664,54,11,530,35.333333333333336,50,18,0.9245283018867925,14.411764705882353,15.588235294117647,114107,Enzo,Anonymo
114109,28,67,962,34.357142857142854,50,7,1046,37.357142857142854,53,16,0.9196940726577438,14.35820895522388,15.611940298507463,114109,-Nami,Anonymo
