id,name,name_short,start_date,end_date,private,title_ids,title_names
106240,ESL Impact Cash Cup: Europe - Spring 2022 #6,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106241,ESL Pro League Conference Season 16,ESL Pro League Confe,,,False,['1'],['Counter Strike: Global Offensive']
106242,Sazka eLEAGUE Spring 2022,Sazka eLEAGUE Spring,,,False,['1'],['Counter Strike: Global Offensive']
106251,Chaos  Realm League,Chaos Realm League,,,False,['2'],['Defense of the Ancients 2']
106254,ESEA Season 41: Advanced Division - Europe,ESEA Season 41: Adva,,,False,['1'],['Counter Strike: Global Offensive']
106257,"FlowFiReLEAGUE 2022, Argentinian CQ","FlowFiReLEAGUE 2022, A CQ",,,False,['1'],['Counter Strike: Global Offensive']
106258,EPL,EPL,,,False,['2'],['Defense of the Ancients 2']
106259,A1 Adria League Season 9,A1 Adria League Seas,,,False,['1'],['Counter Strike: Global Offensive']
106262,Polska Liga Esportowa 2022: Cup #3,PLE 2022: Cup #3,,,False,['1'],['Counter Strike: Global Offensive']
106265,Aorus League 2022 Season 1: Female,Aorus League 2022 Se,,,False,['1'],['Counter Strike: Global Offensive']
106266,EpicHomes,EpicHomes,,,False,['2'],['Defense of the Ancients 2']
106269,Skolkampen 2022,Skolkampen 2022,,,False,['1'],['Counter Strike: Global Offensive']
106271,Nelly Nationals,Nelly Nationals,,,False,['2'],['Defense of the Ancients 2']
106272,ESEA Season 41: Advanced Division - North America,ESEA Season 41: Adva,,,False,['1'],['Counter Strike: Global Offensive']
106274,Roobet Cup,Roobet Cup,,,False,['1'],['Counter Strike: Global Offensive']
106276,Fragadelphia 17: Chicago,Fragadelphia 17: Chi,,,False,['1'],['Counter Strike: Global Offensive']
106277,ESL Impact Cash Cup: South America - Spring 2022 #6,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106278,CBCS Elite League 2022,CBCS Elite League 20,,,False,['1'],['Counter Strike: Global Offensive']
106280,Esport Tour 2022: Series #2,Esport Tour 2022: Se,,,False,['1'],['Counter Strike: Global Offensive']
106281,ESL Challenger League Season 41: Asia-Pacific,ESL Challenger Leagu,,,False,['1'],['Counter Strike: Global Offensive']
106282,TippmixPro Masters 2022,TippmixPro Masters 2,,,False,['1'],['Counter Strike: Global Offensive']
106288,MESA Pro Series: Summer 2022,MESA Pro Series: Sum,,,False,['1'],['Counter Strike: Global Offensive']
106293,Belarusian Esports League 2022: Level #2,Belarusian Esports L,,,False,['2'],['Defense of the Ancients 2']
106297,Superbattles 2022,Superbattles 2022,,,False,['1'],['Counter Strike: Global Offensive']
106298,ESEA Cash Cup: Europe - Summer 2022 #1,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
106299,Top Clans 2022 Summer Invitational: Regional Qualifier #2,Top Clans 2022 Summe,,,False,['2'],['Defense of the Ancients 2']
106301,Fragadelphia 17: Fullerton #1,Fragadelphia 17: Ful,,,False,['1'],['Counter Strike: Global Offensive']
106302,ESL Impact Cash Cup: South America - Summer 2022 #1,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
